初始姿势	  0
跑		  2-19
走		 22-42
站立		 45-124
跳起		127-137
空中		137-149
落地		149-169
落地跑		172-206
死亡		209-260
被打		263-280

右施法准备	283-315
右施法		315-324
右循环		326-341		

头顶施法准备	344-376
头顶施法	376-395
头顶施法循环	395-414		

战斗姿势	417-449
眩晕		452-499
倒地		502-526
躺		526-551
起身		551-576
出生		579-608
愤怒		611-634

休闲		637-715

右空中施法	718-730

左施法准备	733-765
左施法		765-774
左施法循环	776-791
左空中施法	794-806

生活技能:
钓鱼甩杆	807-829
钓鱼中		829-868
钓鱼收杆	868-889
坐下		893-926
坐着		926-1013
起来		1013-1046
采矿		1047-1067
制造		1068-1076
制造中		1076-1110
制造完成	1110-1121
